track_id,path,cluster,umap_x,umap_y
1100507,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/07/1100507.low.mp3,19,13.011149,1.186367
1129026,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/26/1129026.low.mp3,12,5.017978,1.7790418
710586,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/86/710586.low.mp3,6,7.808185,1.9773837
492112,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/12/492112.low.mp3,20,13.021154,0.96496433
1318107,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/07/1318107.low.mp3,22,5.524203,4.5869336
1342572,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/72/1342572.low.mp3,13,11.235909,-2.9869566
82601,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/01/82601.low.mp3,27,12.3895855,5.127245
1184451,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/51/1184451.low.mp3,22,4.865255,5.084761
1132337,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/37/1132337.low.mp3,22,6.4092226,2.2614043
185293,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/93/185293.low.mp3,21,12.34395,-1.0905436
1254787,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/87/1254787.low.mp3,25,4.2410283,6.2540426
965316,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/16/965316.low.mp3,6,5.998192,3.9073603
145456,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/56/145456.low.mp3,7,11.052723,-2.188424
1195921,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/21/1195921.low.mp3,18,6.0016317,6.9782577
897307,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/07/897307.low.mp3,7,11.1722555,3.3843236
1231349,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/49/1231349.low.mp3,4,8.993587,7.3335824
710697,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/97/710697.low.mp3,17,5.363031,5.244572
448677,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/77/448677.low.mp3,23,9.448554,0.7890021
172328,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/28/172328.low.mp3,7,11.616861,-2.444008
741886,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/86/741886.low.mp3,10,6.968399,5.562887
1158371,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/71/1158371.low.mp3,25,4.0458584,6.864887
1168349,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/49/1168349.low.mp3,14,10.7815485,5.8788133
1126664,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/64/1126664.low.mp3,24,6.9107256,1.394265
1111972,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/72/1111972.low.mp3,22,5.8883142,3.9637184
159200,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/00/159200.low.mp3,7,11.437031,-2.0573688
1336422,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/22/1336422.low.mp3,27,12.209327,5.349676
1126383,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/83/1126383.low.mp3,19,13.7776985,0.1294219
1239372,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/72/1239372.low.mp3,27,12.718027,4.631687
375191,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/91/375191.low.mp3,4,10.626346,5.1968846
842779,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/79/842779.low.mp3,17,4.2572446,5.276588
203520,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/20/203520.low.mp3,22,6.823505,6.8329954
1337210,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/10/1337210.low.mp3,26,7.1444616,4.0604787
1310024,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/24/1310024.low.mp3,20,12.466733,1.99376
597315,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/15/597315.low.mp3,4,8.840946,6.774412
1347386,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/86/1347386.low.mp3,0,12.687736,-3.0455823
1065628,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/28/1065628.low.mp3,24,7.4915876,1.2702143
1115616,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/16/1115616.low.mp3,15,2.163872,4.1935344
376461,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/61/376461.low.mp3,20,10.084084,7.0470047
1352899,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/99/1352899.low.mp3,22,4.7585516,4.0553565
1075141,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/41/1075141.low.mp3,19,13.6096525,0.6607652
36714,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/14/36714.low.mp3,26,10.362643,4.723374
1341839,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/39/1341839.low.mp3,5,9.704921,5.005349
1257250,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/50/1257250.low.mp3,12,5.2263036,1.412896
288283,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/83/288283.low.mp3,20,12.716695,2.0512452
99043,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/43/99043.low.mp3,12,4.954255,2.9336715
47561,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/61/47561.low.mp3,22,3.6660743,4.681279
1230990,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/90/1230990.low.mp3,24,7.4266443,1.3373256
1010661,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/61/1010661.low.mp3,27,12.602468,5.152521
1182567,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/67/1182567.low.mp3,18,7.0892277,6.9310155
1117574,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/74/1117574.low.mp3,5,9.826346,3.789766
1042060,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/60/1042060.low.mp3,19,13.486859,0.99998647
200571,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/71/200571.low.mp3,4,10.069573,6.8405967
1238100,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/00/1238100.low.mp3,26,9.45868,5.035851
801452,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/52/801452.low.mp3,8,8.859342,1.1272053
331418,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/18/331418.low.mp3,26,11.458368,5.034995
1400172,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/72/1400172.low.mp3,10,6.8402057,5.6136966
49144,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/44/49144.low.mp3,14,10.173107,6.29385
1249219,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/19/1249219.low.mp3,17,1.6712139,3.2965646
1413171,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/71/1413171.low.mp3,9,12.019981,5.3309937
