track_id,path,cluster,umap_x,umap_y
1100507,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/07/1100507.low.mp3,0,7.64063,-2.418228
1129026,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/26/1129026.low.mp3,4,13.939973,3.520455
710586,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/86/710586.low.mp3,4,11.74093,1.7148509
492112,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/12/492112.low.mp3,0,8.614663,-1.4486548
1318107,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/07/1318107.low.mp3,2,11.313831,5.604575
1342572,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/72/1342572.low.mp3,0,9.858464,-5.4347
82601,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/01/82601.low.mp3,1,6.7870584,1.175895
1184451,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/51/1184451.low.mp3,2,11.291142,3.9958396
1132337,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/37/1132337.low.mp3,6,12.975297,2.8713014
185293,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/93/185293.low.mp3,0,8.5338,-4.377365
1254787,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/87/1254787.low.mp3,2,13.023001,6.6218133
965316,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/16/965316.low.mp3,2,12.239618,4.764935
145456,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/56/145456.low.mp3,0,9.594469,-5.2586336
1195921,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/21/1195921.low.mp3,6,9.774213,7.067828
897307,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/07/897307.low.mp3,4,8.73318,3.2827842
1231349,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/49/1231349.low.mp3,6,7.593692,4.793047
710697,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/97/710697.low.mp3,2,11.832534,5.734927
448677,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/77/448677.low.mp3,3,11.787652,0.06882699
172328,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/28/172328.low.mp3,0,9.749436,-4.891967
741886,/content/drive/MyDrive/tag-polysemy/mtg-audio-low/86/741886.low.mp3,6,10.118383,4.897334
